uid,catalog,number,species,scientificName,age,heightM,girthCm,canopyM,address,grade,lat,lng,coordinateQuality,sourcePage,sourceDocument
姑苏区-金496,姑苏区,金496,榔榆,Ulmus parvifolia Jacq.,106,10,212,10,山塘河西南岸,三级,31.329345,120.631119,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金499,姑苏区,金499,香樟,Camphora officinarum Nees,106,16.1,251,18.5,苏州市第五中学,三级,31.297764,120.603356,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金500,姑苏区,金500,朴树,Celtis sinensis Pers.,112,9,166,5.9,慈济医院,三级,31.338848,120.594235,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金503,姑苏区,金503,黄杨,Buxus sinica (Rehder & E. H. Wilson) M. Cheng,156,4,104,6.5,市教师发展中心,三级,31.295663,120.595603,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金504,姑苏区,金504,黄杨,Buxus sinica (Rehder & E. H. Wilson) M. Cheng,156,4,105,6.7,市教师发展中心,三级,31.330162,120.646743,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金505,姑苏区,金505,黄杨,Buxus sinica (Rehder & E. H. Wilson) M. Cheng,160,5.2,103,3.5,北浩弄61号枫杨小筑,三级,31.311871,120.618907,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金506,姑苏区,金506,罗汉松,Podocarpus macrophyllus (Thunb.) Sweet,130,5.2,103,6.6,北浩弄61号枫杨小筑,三级,31.282441,120.623506,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧501,姑苏区,沧501,银杏,Ginkgo biloba L.,849,15.6,433,9.9,孔庙,一级,31.287722,120.603324,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧502,姑苏区,沧502,银杏,Ginkgo biloba L.,649,18.5,331,13.8,孔庙,一级,31.309888,120.611402,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧503,姑苏区,沧503,银杏,Ginkgo biloba L.,649,17.3,612,15.7,孔庙,一级,31.338956,120.600344,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
